'a'shui'fu'shang'ma 阿谁扶上马
'an'neng'lian'jin'que 安能恋金阙
'an'neng'shou'gu'qiong 安能守固穷
'an'neng'wei'xuan'yuan 安能为轩辕
'an'neng'yu'chi'yan 安能与斥鷃
'an'pin'zhu'bai'yi 安贫著败衣
'an'qi'ru'peng'hai 安期入蓬海
'an'qu'jiu'chuan'yao 岸去酒船遥
'an'qu'mi'hou'pu 岸曲迷后浦
'an'ren'bin'yu'si 安仁鬓欲丝
'an'ren'dao'ruo'shan 安仁道若山
'an'ren'si'gu'xiang 安忍思故乡
'an'shi'dong'shan'san'shi'chun 安石东山三十春
'an'shi'fan'ming'bo 安石泛溟渤
'an'shi'hai'xu'qi 安石还须起
'an'shi'shen'you'wu 安识身有无
'an'shi'zai'dong'shan 安石在东山
'an'shi'zi'fang'xian 安识子房贤
'an'shi'zi'xia'ke 安识紫霞客
'an'sun'kai'xin'tuo 岸笋开新箨
'an'tong'shan'xia'cao 暗通山下草
'an'xi'jiu'mu'shou'lei'kan 安西旧牧收泪看
'an'xi'mu'fu'duo'cai'xiong 安西幕府多材雄
'an'xiang'shan'quan'he 暗想山泉合
'an'xu'gu'ren'shen 暗许故人深
'an'ye'sa'shuai'wu 岸叶飒衰芜
'an'ying'song'se'han 岸映松色寒
'an'yu'fu'bing'qi 暗与伏兵期
'an'yu'shan'seng'bie 暗与山僧别
'an'ze'gu'ren'qi 岸帻故人期
'an'zhi'fu'yun'wai 安知浮云外
'an'zhi'hou'hui'yin 安知后会因
'an'zhi'hu'lai'xiang 安知忽来翔
'an'zhi'mu'qun'ke 安知慕群客
'an'zhi'nan'shan'gui 安知南山桂
'an'zhi'tian'di'xin 安知天地心
'an'zhi'tian'han'shang 安知天汉上
'an'zhi'you'chen'fu 安知有沉浮
'an'zhi'you'jian'ce 安知幽涧侧
'ang'cang'chu'feng'chen 昂藏出风尘
'ang'cang'nan'shan'ce 昂藏南山侧
'ang'cang'ru'jun'men 昂藏入君门
'ang'cang'xie'zhi'shou 昂藏獬豸兽
'ang'zang'bu'neng'jiu'gui'zu 肮脏不能就珪组
'ang'zang'ci'gu'yuan 肮脏辞故园
'ang'zang'zai'feng'chen 肮脏在风尘
'ao'ao'kong'cheng'que 嗷嗷空城雀
'ao'ao'xi'xi 嗷嗷栖栖
'ao'bei'du'fang'peng 鳌背睹方蓬
'ao'bian'shan'hai'qing 鳌抃山海倾
'ao'er'ling'zi'shen 傲尔令自哂
'ao'li'fei'fan'li 傲吏非凡吏
'ao'ni'qing'ju'jiu 傲睨倾菊酒
'ao'ran'kua'qiu'shui 傲然夸秋水
'ao'ran'sui'du'wang 傲然遂独往
'ao'ran'xie'ji'chu'feng'chen 傲然携妓出风尘
'ao'xiang'hai'kun'qiu 翱翔还昆丘
'ao'xiang'ming'su'qiu 翱翔鸣素秋
'ao'xiang'zi'yun'ni 翱翔紫云霓
'ao'you'lang'feng'ting 遨游阆风亭
'ao'you'qing'tian'zhong 遨游青天中
'ao'you'sheng'wan'luo 遨游盛宛洛
'ba'bi'ji'ren'quan 把臂几人全
'ba'bi'jun'wei'shui 把臂君为谁
'ba'bi'xue'ti'shi 把笔学题诗
'ba'chuan'qu'ruo'fei 巴船去若飞
'ba'dong'wen'gu'ren 巴东问故人
'ba'dong'yuan'ye'yin 巴东猿夜吟
'ba'ge'he'zhe'xi 巴歌和者稀
'ba'gong'xie'shou'wu'yun'qu 八公携手五云去
'ba'gui'liao'zi'du 罢归聊自度
'ba'guo'jin'suo'li 巴国尽所历
'ba'huang'chi'jing'biao 八荒驰惊飙
'ba'ji'zi'you'qi 八极恣游憩
'ba'ji'zong'yuan'duo 八极纵远舵
'ba'jian'ji'qian'zhu 拔剑击前柱
'ba'jiao'dui'bing'shen 芭蕉对病身
'ba'jiao'gao'zi'zhe 芭蕉高自折
'ba'jiao'hui'xing'hong 八角辉星虹
'ba'jiao'ye'shang'du'ti'shi 芭蕉叶上独题诗
'ba'jie'chan'lin'xiu 八解禅林秀
'ba'jiu'er'he'si 把酒尔何思
'ba'jiu'gu'mei'ren 把酒顾美人
'ba'jiu'hua'sang'ma 把酒话桑麻
'ba'jiu'kan'hua'xiang'zhu'di 把酒看花想诸弟
'ba'jiu'qing'luo'shang 把酒轻罗裳
'ba'jiu'wang'yuan'shan 把酒望远山
'ba'jiu'yin'shi'dai'er'tong 把酒吟诗待尔同
'ba'jun'an'pei'xing 八骏按辔行
'ba'jun'shan'xiu'wang'chui'yang 把君衫袖望垂杨
'ba'ling'cheng'xia'ren 巴陵城下人
'ba'ling'ding'yao'yuan 巴陵定遥远
'ba'ling'wu'xian'jiu 巴陵无限酒
'ba'ling'xing'song'bie 灞陵行送别
'ba'ling'zeng'jia'she'ren 巴陵赠贾舍人
'ba'long'cheng'qing'zhong 八龙承庆重
'ba'nan'shui'yi'fang 巴南水一方
'ba'qi'xi'teng'fa 霸气昔腾发
'ba'qiu'guo'ri'you'deng'cheng 巴丘过日又登城
'ba'qu'nong'shi'gu'lao'xi 灞曲农时故老稀
'ba'ren'jie'juan'she 巴人皆卷舌
'ba'ren'shui'ken'he'yang'chun 巴人谁肯和阳春
'ba'ren'ye'yu'gu'zhou'li 巴人夜语孤舟里
'ba'shen'du'jing'hong 拔身渡京虹
'ba'shui'heng'tian'geng'bu'liu 巴水横天更不流
'ba'shui'hu'ke'jin 巴水忽可尽
'ba'shui'ji'ru'jian 巴水急如箭
'ba'shui'liu'hao'hao 灞水流浩浩
'ba'shui'liu'ruo'zi 巴水流若兹
'ba'shui'tian'bian'lu 巴水天边路
'ba'shui'yi'zhi'chang 巴水一支长
'ba'su'shu'qian'zhang 拔俗数千丈
'ba'tu'ge'wei'li 霸图各未立
'ba'ye'da'jiang'liu 霸业大江流
'ba'yue'bian'feng'gao 八月边风高
'ba'yue'chang'jiang'qu'lang'ping 八月长江去浪平
'ba'yue'chang'jiang'wan'li'qing 八月长江万里晴
'ba'yue'guan'chao'ba 八月观潮罢
'ba'yue'hu'die'lai 八月胡蝶来
'ba'yue'hu'shui'ping 八月湖水平
'ba'yue'jiu'yue'tian'qi'liang 八月九月天气凉
'ba'yue'mei'cheng'bi 八月枚乘笔
'ba'yue'san'cheng'xian 巴月三成弦
'ba'yue'san'xiang'dao 八月三湘道
'ba'yue'xi'feng'qi 八月西风起
'ba'zhen'chong'ta'shi'yan'se 八珍重沓失颜色
'ba'zhi'zan'gui'xiu 罢直暂归休
'ba'zi'tian'bian'shui 巴字天边水
'bai'bi'he'gu 白璧何辜
'bai'bi'jian'qiu'yue 白璧见秋月
'bai'bi'jing'he'gu 白璧竟何辜
'bai'bi'jing'nan'tou 白璧竟难投
'bai'bi'shuang'ming'yue 白璧双明月
'bai'bi'wu'xia'dian 白璧无瑕玷
'bai'bi'you'ji'shuang 白璧有几双
'bai'bi'zi'liu'si 白鼻紫骝嘶
'bai'bo'jiu'dao'liu'xue'shan 白波九道流雪山
'bai'bo'lian'wu'yu 白波连雾雨
'bai'bo'ruo'juan'xue 白波若卷雪
'bai'cao'cheng'zhong'chun'bu'ru 白草城中春不入
'bai'cao'hu'sha'xi'sai'qiu 白草胡沙西塞秋
'bai'cao'si'dong'yue 百草死冬月
'bai'cao'yi'fu'sheng 百草亦复生
'bai'cheng'jin'ci'shi 百城今刺史
'bai'chi'bu'ji'quan 百尺不及泉
'bai'chi'dan'qing'kong 百尺澹晴空
'bai'chi'qing'tan'xie'cui'e 百尺清潭写翠娥
'bai'chi'zhao'xin'ming 百尺照心明
'bai'chuan'jin'diao'ku 百川尽凋枯
'bai'chuan'sui'long'zhou 百川随龙舟
'bai'chuan'wu'jin'shi 百川无尽势
'bai'chuan'zhu'dong'hai 百川注东海
'bai'dai'shen'you'wang 百代神犹王
'bai'dai'si'rong'qin 百代思荣亲
'bai'dai'zhui'yuan'hong 百代坠鹓鸿
'bai'dao'xiang'gu'shu 白道向姑熟
'bai'de'duan'gan'chang 白地断肝肠
'bai'di'cheng'bian'shu'se'qiu 白帝城边树色秋
'bai'di'jin'jing'yun'yuan'qi 白帝金精运元气
'bai'di'xiao'yuan'duan 白帝晓猿断
'bai'fa'bu'neng'chu 白发不能除
'bai'fa'chang'tong'tan 白发常同叹
'bai'fa'cong'cong'se 白发匆匆色
'bai'fa'cui'nian'lao 白发催年老
'bai'fa'dui'lv'jiu 白发对绿酒
'bai'fa'duo'qu'nian 白发多去年
'bai'fa'gu'xiang'ren 白发故乡人
'bai'fa'hai'xiang'jing 白发还乡井
'bai'fa'jian'sheng'ya 白发见生涯
'bai'fa'jin'cui'lao 白发今催老
'bai'fa'mian'xiu'ren 白发免羞人
'bai'fa'qing'pao'qu'hui'fu 白发青袍趋会府
'bai'fa'ru'shuang'cao 白发如霜草
'bai'fa'san'qian'zhang 白发三千丈
'bai'fa'si'lao'ren 白发四老人
'bai'fa'si'zhang'ju 白发死章句
'bai'fa'wo'xian'qiu 白发我先秋
'bai'fa'yi'he'xin 白发一何新
'bai'fa'zuo'xiang'qin 白发坐相侵
'bai'gan'ye'chang'xiao 白笴夜长啸
'bai'gu'cheng'qiu'shan 白骨成丘山
'bai'gu'heng'qian'shuang 白骨横千霜
'bai'gu'ji'wu'yan 白骨寂无言
'bai'gu'kong'xiang'diao 白骨空相吊
'bai'gu'xiang'cheng'ru'luan'ma 白骨相撑如乱麻
'bai'guan'jie'hua'yan 百官接话言
'bai'gui'dao'feng'yi 白龟道冯夷
'bai'guo'gong'zhen'zou 百国共臻奏
'bai'hao'zi'ge 白毫子歌
'bai'he'fei'tian'shu 白鹤飞天书
'bai'he'ming'zhu'shou'chen'lun 拜贺明主收沉沦
'bai'he'pai'huai'kan'bu'qu 白鹤徘徊看不去
'bai'he'qing'yan'ban 白鹤青岩半
'bai'hu'shou'ben'zhai 白虎守本宅
'bai'hua'qing'gui'zhi 白花青桂枝
'bai'hua'qing'liu'yi'han'shi 白花青柳疑寒食
'bai'ji'meng'hou'san'bai'sui 白鸡梦后三百岁
'bai'jian'tu'tui'jian 白简徒推荐
'bai'jin'fei'suo'zhong 百金非所重
'bai'jin'zi'yi'qing 百金资一倾
'bai'jiu'xin'shu'shan'zhong'gui 白酒新熟山中归
'bai'jiu'ying'wu'bei 白酒盈吾杯
'bai'ju'an'song'qi 败屦安松砌
'bai'lang'an'jiang'zhong 白浪暗江中
'bai'lang'fan'chang'jing 白浪翻长鲸
'bai'lang'gao'yu'wa'guan'ge 白浪高于瓦官阁
'bai'lang'ge'feng'lin 白浪隔枫林
'bai'lang'ru'shan'na'ke'du 白浪如山那可渡
'bai'li'ci'yun'yang 百里次云阳
'bai'li'du'tai'gu 百里独太古
'bai'li'ji'quan'jing 百里鸡犬静
'bai'li'jian'qiu'hao 百里见秋毫
'bai'li'jian'shuang'liu 百里见双流
'bai'li'sheng'xiang'wen 百里声相闻
'bai'li'wen'lei'zhen 百里闻雷震
'bai'li'xing'chun'fan 百里行春返
'bai'li'xing'song'sheng 百里行松声
'bai'liang'shi'huo'qu 柏梁失火去
'bai'ling'he'dang'yang 百龄何荡漾
'bai'long'gai'chang'fu 白龙改常服
'bai'long'jiang'ling'yang 白龙降陵阳
'bai'long'nai'yu'fu 白龙乃鱼服
'bai'lu'chui'zhu'di'qiu'yue 白露垂珠滴秋月
'bai'lu'cui'han'yi 白露催寒衣
'bai'lu'cui'zhi 百禄萃之
'bai'lu'dian'qing'tai 白露点青苔
'bai'lu'diao'hua'zi 白露凋华滋
'bai'lu'fan'ji'you 白鹿凡几游
'bai'lu'han'geng'yu 白鹭寒更浴
'bai'lu'jian'ri'mie 白露见日灭
'bai'lu'ming'yue'tian 白露明月天
'bai'lu'quan'yi'zu 白鹭拳一足
'bai'lu'sa'kui'huo 白露洒葵藿
'bai'lu'sheng'yi'jin 白露生衣巾
'bai'lu'shi'hua'shi 白露湿花时
'bai'lu'shi'ying'huo 白露湿萤火
'bai'lu'xia'qiu'shui 白鹭下秋水
'bai'lu'xing'shi'san'fei'qu 白鹭行时散飞去
'bai'lu'ying'chun'zhou 白鹭映春洲
'bai'lu'zhou'qian'yue 白鹭洲前月
'bai'ma'bei'lu'bang 白马悲路傍
'bai'ma'hua'shan'jun 白马华山君
'bai'ma'huang'jin'sai 白马黄金塞
'bai'ma'jiao'qie'chi 白马骄且驰
'bai'ma'jin'ji'liao'hai'dong 白马金羁辽海东
'bai'ma'rao'jing'qi 白马绕旌旗
'bai'ma'ru'feng'ji 白马如风疾
'bai'ma'shui'jia'zi 白马谁家子
'bai'ma'xiao'chi'hui 白马小迟回
'bai'ma'xiao'er'shui'jia'zi 白马小儿谁家子
'bai'ma'yu'lin'er 白马羽林儿
'bai'ma'zhu'zhu'che 白马逐朱车
'bai'ma'zou'su'che 白马走素车
'bai'mei'chao'chang'lun 白眉超常伦
'bai'mian'ying'zhu'yi 白面映朱衣
'bai'nian'duo'zai'bie'li'jian 百年多在别离间
'bai'nian'ku'yi'man 百年苦易满
'bai'nian'piao'ruo'shui 百年飘若水
'bai'nian'san'wan'liu'qian'ri 百年三万六千日
'bai'nian'you'chong'chen 百年犹崇晨
'bai'niao'xi'cong'meng 白鸟戏葱蒙
'bai'ou'li'luan'chang'fei'xue 白鸥历乱长飞雪
'bai'ou'xi'fei'lai 白鸥兮飞来
'bai'ou'xian'bu'qu 白鸥闲不去
'bai'qi'zhen'cheng'yi'shu'zi 白起真成一竖子
'bai'qi'zuo'jun'wei 白起佐军威
'bai'qin'gui'hai'pan 拜亲归海畔
'bai'quan'li'cun'fei 白犬离村吠
'bai'que'tan'yao'pei 拜阙贪摇佩
'bai'ren'qian'fu'pi 白刃千夫辟
'bai'ren'sa'chi'xue 白刃洒赤血
'bai'ren'yao'su'xue 白刃耀素雪
'bai'ren'yi'wei'shi 柏人以为识
'bai'ri'chi'jiao'gong 白日持角弓
'bai'ri'dang'tian'xin 白日当天心
'bai'ri'diao'hua'fa 白日凋华发
'bai'ri'he'duan'duan 白日何短短
'bai'ri'hu'xi'mu 白日忽西暮
'bai'ri'hu'xiang'cui 白日忽相催
'bai'ri'hu'yu'wan 白日忽欲晚
'bai'ri'ji'yun'mu 白日既云暮
'bai'ri'kai'fen'hun 白日开氛昏
'bai'ri'ke'fu'nong 白日可抚弄
'bai'ri'kong'shan'fan 白日空山梵
'bai'ri'luo'kun'ming 白日落昆明
'bai'ri'luo'xi'hai 白日落西海
'bai'ri'nan'hui'guang 白日难回光
'bai'ri'po'hun'ai 白日破昏霭
'bai'ri'qi'hong'yan 白日欺红颜
'bai'ri'qi'shang'mei 白日淇上没
'bai'ri'qiu'lie'ye'yong'zhi 白日球猎夜拥掷
'bai'ri'ru'fen'zhao 白日如分照
'bai'ri'ru'pi'yan 白日如披颜
'bai'ri'shen'guang'cai 白日沈光彩
'bai'ri'shuang'liu'jing 白日双流静
'bai'ri'si'yun'kong 白日思云空
'bai'ri'suo'mei 白日所没
'bai'ri'xi'tui'qin 白日惜颓侵
'bai'ri'xia'guang'jin 白日下广津
'bai'ri'xing'yu'mu 白日行欲暮
'bai'ri'xuan'gao'ming 白日悬高名
'bai'ri'yan'cu'hui 白日掩徂辉
'bai'ri'yao'zi'wei 白日曜紫微
'bai'ri'yin'tian'mo 白日隐天末
'bai'ri'you'bu'qi 白日犹不起
'bai'ri'yu'ming'yue 白日与明月
'bai'ri'zai'gao'tian 白日在高天
'bai'ri'zhao'lv'cao 白日照绿草
'bai'ri'zhong'bian'wan 白日钟边晚
'bai'ruo'bai'lu'xian 白若白鹭鲜
'bai'sha'liu'yue'se 白沙留月色
'bai'she'jing'feng'ren 白社静逢人
'bai'she'tao'yuan'liang 白社陶元亮
'bai'shi'jin'chu'mo 白石今出没
'bai'shi'ting'li'jian 白事廷吏简
'bai'shi'xian'sheng'mei'fa'guang 白石先生眉发光
'bai'shou'chang'xiang'si 白首长相思
'bai'shou'chou'xiang'wu 白首愁相误
'bai'shou'chui'diao'weng 白首垂钓翁
'bai'shou'dao'wei'guan 白首到微官
'bai'shou'du'yi'shen 白首独一身
'bai'shou'dui'ting'zhou 白首对汀洲
'bai'shou'mei'san'bian 白首没三边
'bai'shou'ru'qin'cheng 白首入秦城
'bai'shou'si'luo'qi 白首死罗绮
'bai'shou'tai'xuan'jing 白首太玄经
'bai'shou'wei'deng'ke 白首未登科
'bai'shou'wei'ru'shen'bei'qing 白首为儒身被轻
'bai'shou'wo'song'yun 白首卧松云
'bai'shou'yuan'xiang'lian 白首远相怜
'bai'shou'zhong'qi'chuang 拜手终凄怆
'bai'shui'lian'tian'mu 白水连天暮
'bai'shui'liu'yuan'chi 白水流园池
'bai'shui'nong'su'yue 白水弄素月
'bai'shui'rao'dong'cheng 白水绕东城
'bai'shui'xing'han'guang 白水兴汉光
'bai'shui'yang'han'liu 白水扬寒流
'bai'shui'zhen'ren'ju 白水真人居
'bai'sui'kong'hui'huo 百岁空挥霍
'bai'sui'luo'ban'tu 百岁落半途
'bai'tian'jian'chu'lao 白田见楚老
'bai'tian'ma'shang'wen'ying 白田马上闻莺
'bai'tian'yi'sao'si 白田已缫丝
'bai'tou'sheng'yuan'lang 白头生远浪
'bai'tou'xian'ren'yin'yu'hu 白头仙人隐玉壶
'bai'tu'dao'yao'cheng 白兔捣药成
'bai'tu'dao'yao'qiu'fu'chun 白兔捣药秋复春
'bai'wu'hu'wei'lin 白屋忽为邻
'bai'wu'qing'xin'hun 拜舞清心魂
'bai'wu'yu'long'qi 白雾鱼龙气
'bai'xi'yu'wei'shen 白皙玉为身
'bai'xian'bai'ru'jin 白鹇白如锦
'bai'xian'chu'chu'ju'sha'di 白鹇处处聚沙堤
'bai'xue'chi'rong'yan 白雪耻容颜
'bai'xue'fei'hua'luan'ren'mu 白雪飞花乱人目
'bai'xue'gao'yin'ji 白雪高吟际
'bai'xue'guan'shan'yuan 白雪关山远
'bai'xue'luan'qian'shou 白雪乱纤手
'bai'xue'nan'tong'diao 白雪难同调
'bai'xue'yan'ji'wu 白雪燕姬舞
'bai'xue'yong'sha'cheng 白雪拥沙城
'bai'yan'bu'de'liu 拜言不得留
'bai'yan'cong'zhong'lai 白雁从中来
'bai'yan'guo'you'yu 败堰过游鱼
'bai'yan'heng'hai'shu 白烟横海戍
'bai'yan'luo'yun'duan 白雁落云端
'bai'yan'shang'lin'fei 白雁上林飞
'bai'yan'you'fei'fan 白雁犹飞翻
'bai'yang'qiu'yue'ku 白杨秋月苦
'bai'yang'shi'zi'xiang 白杨十字巷
'bai'yang'shuang'hang'hang 白杨双行行
'bai'ye'wan'nian'bei 柏叶万年杯
'bai'yi'gao'tang'li 拜揖高堂里
'bai'yi'huang'jin'kong 百镒黄金空
'bai'yi'qian'wan'cheng 白衣千万乘
'bai'yi'qing'huang'jin 百镒罄黄金
'bai'ying'bai'lu'qian 拜迎白鹿前
'bai'yu'cha'yao'jian 白羽插腰间
'bai'yu'gao'lou'kan'bu'jian 白玉高楼看不见
'bai'yu'hu'bing'shui 白玉壶冰水
'bai'yu'huan'dou'su 白玉换斗粟
'bai'yu'lian'hui'jing 白玉连徽净
'bai'yu'luo'jiu'zun 白羽落酒樽
'bai'yu'pan'zhong'kan'que'wu 白玉盘中看却无
'bai'yu'qi'qing'ying 白玉栖青蝇
'bai'yu'shui'jia'lang 白玉谁家郎
'bai'yu'sui'chen'gou 白玉虽尘垢
'bai'yu'wei'mao'yi 白玉为毛衣
'bai'yu'yi'bei'jiu 白玉一杯酒
'bai'yu'ying'han'shan 白雨映寒山
'bai'yu'zhu'wei'tan'zhong'xuan 白玉麈尾谈重玄
'bai'yuan'can'jian'shu 白猿惭剑术
'bai'yuan'chu'xiang'shi 白猿初相识
'bai'yun'ben'wu'xin 白云本无心
'bai'yun'chou'se'man'cang'wu 白云愁色满苍梧
'bai'yun'chou'yu'duan 白云愁欲断
'bai'yun'chu'chu'chang'sui'jun 白云处处长随君
'bai'yun'dang'hai'duan 白云当海断
'bai'yun'fang'cao'yu'xin'wei 白云芳草与心违
'bai'yun'fei'tian'jin 白云飞天津
'bai'yun'gao'si'jian'heng'zhou 白云高寺见衡州
'bai'yun'gui'qu'lai 白云归去来
'bai'yun'hai'zi'san 白云还自散
'bai'yun'he'chu'geng'xiang'qi 白云何处更相期
'bai'yun'he'shi'qu 白云何时去
'bai'yun'jian'wo'qu 白云见我去
'bai'yun'jing'kong'gu 白云竟空谷
'bai'yun'kai'chu'jian'chai'fei 白云开处见柴扉
'bai'yun'kan'wo'jun'zao'gui 白云堪卧君早归
'bai'yun'kong'wang'mei 白云空望美
'bai'yun'man'liang'yuan 白云满梁园
'bai'yun'mao'ceng'meng 白云冒层甍
'bai'yun'nan'shan'lai 白云南山来
'bai'yun'qiu'se'yuan 白云秋色远
'bai'yun'rao'bi'chuang'qian'fei 白云绕笔窗前飞
'bai'yun'ri'xi'zhi 白云日夕滞
'bai'yun'shan'shang'su'shuang'lin 白云山上宿双林
'bai'yun'xiang'wu'hui 白云向吴会
'bai'yun'yao'xiang'shi 白云遥相识
'bai'yun'yi'xiao'tiao 白云已萧条
'bai'yun'yi'zi'shen 白云意自深
'bai'yun'yin'ze'guo 白云阴泽国
'bai'yun'ying'shui'yao'kong'cheng 白云映水摇空城
'bai'yun'you'shi'lai 白云有时来
'bai'yun'zai'qing'tian 白云在青天
'bai'yun'zai'you'gu 白云在幽谷
'bai'yun'zhang'chuan'gu 白云涨川谷
'bai'yun'zheng'cui'wei 白云正崔巍
'bai'zhan'ceng'kua'long'shang'er 百战曾夸陇上儿
'bai'zhan'sha'chang'sui'tie'yi 百战沙场碎铁衣
'bai'zhang'jin'shen'kai'cui'bi 百丈金身开翠壁
'bai'zhang'jin'tan'zhao'yun'ri 百丈金潭照云日
'bai'zhang'su'ya'lie 百丈素崖裂
'bai'zhang'tuo'yuan'song 百丈托远松
'bai'zhi'yue'shang'lai 白雉越裳来
'bai'zhuan'xiang'xun'xu 百啭相寻续
'bai'zu'ao'lv'wa 白足傲履袜
'ban'bai'hen'wu'shuai 斑白恨吾衰
'ban'bi'jian'hai'ri 半壁见海日
'ban'chao'wan'li'hou 班超万里侯
'ban'chu'qing'lin'gao 半出青林高
'ban'dao'feng'wu'ji 半道逢吴姬
'ban'dao'xie'bing'hai 半道谢病还
'ban'dao'xue'tun'meng 半道雪屯蒙
'ban'du'shang'liao'jin 半渡上辽津
'ban'fu'qiong'yan'su'he'xiang 半拂琼筵苏合香
'ban'han'geng'fa'jiang'hai'sheng 半酣更发江海声
'ban'han'xia'shan'xiu 半酣下衫袖
'ban'ji'chu'chuan'fa 半偈初传法
'ban'ji'chuan'chu'jin 半偈传初尽
'ban'jian'li'gong'chu 半见离宫出
'ban'kong'ji'bao'ta 半空跻宝塔
'ban'ling'feng'xian'jia 半岭逢仙驾
