'a'ba'si'pai 阿巴斯派
'guang'ming'zhui'qiu'zhe'zu'zhi 光明追求者组织
'guang'ta'pai 光塔派
'guang'yin'pai 光阴派
'gui'ya'na'yi'si'lan'lian'he'zong'hui 圭亚那伊斯兰联合总会
'guo'ji'yi'si'lan'xue'sheng'zu'zhi'lian'he'hui 国际伊斯兰学生组织联合会
'guo'ji'yi'si'lan'yin'hang'xie'hui 国际伊斯兰银行协会
'guo'ji'yi'si'lan'zu'zhi 国际伊斯兰组织
'ha'er'wa'ti'jiao'tuan 哈尔瓦提教团
'ha'fei'zi'pai 哈菲兹派
'ha'lu'la'pai 哈鲁拉派
'ha'nai'fei'xue'pai 哈乃斐学派
'ha'ta'bu'pai 哈塔布派
'ha'te'mi'jiao'tuan 哈特米教团
'ha'wa'li'ji'pai 哈瓦利吉派
'ha'xi'mu'pai 哈希姆派
'han'bai'li'xue'pai 罕百里学派
'han'xue'pai 汉学派
'hao'zhao'dang 号召党
'hei'shan'pai 黑山派
'hong'men'men'huan 洪门门宦
'hou'lu'fei'pai 侯鲁非派
'hou'lu'le'pai 侯鲁勒派
'hu'fei'ye 虎非耶
'hu'la'mi'pai 胡拉米派
'hu'men'men'huan 胡门门宦
'hua'si'men'huan 华寺门宦
'hui'hui'jiao 回回教
'hui'hui'jiao'men 回回教门
'hui'jiao 回教
'huo'jia'pai 霍加派
'ji'duan'pai 极端派
'ji'si'fu'pai 基斯夫派
'jia'bo'li'pai 贾卜里派
'jia'bu'er'pai 贾布尔派
'jia'fa'er'pai 加法尔派
'jia'fa'er'xue'pai 加法尔学派
'jia'he'mu'pai 加赫姆派
'jia'na'da'mu'si'lin'she'tuan'li'shi'hui 加拿大穆斯林社团理事会
'jia'na'xi'pai 贾纳西派
'jia'sang'pai 加桑派
'jia'su'li'jiao'tuan 加苏里教团
'jian'she'tuan'jie'dang 建设团结党
'jiao'men 教门
'jiu'cai'ping'men'huan 韭菜坪门宦
'ju'jue'pai 拒绝派
'ka'di'li'jiao'tuan 卡迪里教团
'ka'er'la'mu'pai 卡尔拉姆派
'ka'er'ma'te'pai 卡尔马特派
'ka'la'mi'te'pai 卡拉米特派
'ka'la'mi'ye'pai 卡拉米叶派
'ka'lan'da'er'jiao'tuan 卡兰达尔教团
'ka'li'bu'pai 卡里布派
'ka'qi'mi'meng'pai 卡奇米蒙派
'ka'te'yi'pai 卡特伊派
'kai'sang'pai 凯桑派
'ken'ni'ya'mu'si'lin'zui'gao'li'shi'hui 肯尼亚穆斯林最高理事会
'ku'bu'la'wei'jiao'tuan 库布拉维教团
'ku'bu'lin'ye 库不林耶
'la'fei'de'pai 拉斐德派
'la'he'man'jiao'tuan 拉赫曼教团
'la'wang'de'pai 拉旺德派
'lao'guan'chuan 老官川
'lao'jiao 老教
'lao'pai 老派
'li'cha'mu'pai 里查姆派
'li'fa'yi'jiao'tuan 里法伊教团
'li'si'ben'yi'si'lan'jiao'she'tuan 里斯本伊斯兰教社团
'li'xue'pai 理学派
'ling'ming'tang 灵明堂
'liu'dong'qing'zhen'jiao'yu'hui 留东清真教育会
'lun'bian'xue'pai 论辩学派
'luo'ma'ni'ya'kang'si'tan'cha'jiao'lv'cai'pan'wei'yuan'hui 罗马尼亚康斯坦察教律裁判委员会
'ma'da'er'jiao'pai 马达尔教派
'ma'lai'xi'ya'yi'si'lan'jiao'dang 马来西亚伊斯兰教党
'ma'li'ke'xue'pai 马立克学派
'ma'si'you'mei'dang 玛斯友美党
'ma'tu'li'di'pai 马图里迪派
'man'su'er'pai 曼苏尔派
'mao'la'wei'jiao'tuan 毛拉维教团
'mei'guo'jia'na'da'yi'si'lan'xie'hui'lian'meng 美国加拿大伊斯兰协会联盟
'mei'guo'qing'zhen'si'li'shi'hui 美国清真寺理事会
'mei'guo'yi'si'lan'shi'wu'quan'guo'wei'yuan'hui 美国伊斯兰事务全国委员会
'mei'guo'yu'jia'na'da'mu'si'lin'xue'sheng'xie'hui 美国与加拿大穆斯林学生协会
'men'huan 门宦
'mi'meng'pai 米蒙派
'mo'luo'min'zu'jie'fang'zhen'xian 摩洛民族解放阵线
'mu'ba'la'ke'pai 穆巴拉克派
'mu'ci'yi 木刺夷
'mu'er'ji'ya'pai 穆尔吉亚派
'mu'er'tai'qi'lai'pai 穆尔太齐赖派
'mu'fu'ti'men'huan 穆夫提门宦
'mu'gai'na'er'pai 穆盖纳尔派
'mu'han'mo'de'jiao 穆罕默德教
'mu'han'mo'de'pai 穆罕默德派
'mu'han'mo'di'ya'xie'hui 穆罕默迪亚协会
'mu'he'ta'er'pai 穆赫塔尔派
'mu'ji'er'pai 穆基尔派
'mu'li'de'jiao'tuan 穆里德教团
'mu'sha'pai 穆沙派
'mu'si'ta'li'pai 穆斯塔里派
'na'he'xi'ban'di'jiao'tuan 纳合西班迪教团
'na'jia'er'pai 纳加尔派
'na'wu'si'pai 纳乌斯派
'nan'chuan'men'huan 南川门宦
'nan'tai'ping'yang'di'qu'yi'si'lan'xuan'jiao'li'shi'hui 南太平洋地区伊斯兰宣教理事会
'nei'xue'pai 内学派
'ni'cha'er'pai 尼查尔派
'ni'ma'tu'la'xi'jiao'tuan 尼玛图拉希教团
'ni'ren'pai 拟人派
'nu'er'ba'he'shen'jiao'tuan 努尔巴赫什教团
'nu'ke'ta'wei'pai 努克塔维派
'nu'sai'li'pai 努赛里派
'ou'lu'an'pai 欧鲁安派
'ou'zhou'da'lu'qing'zhen'si'li'shi'hui 欧洲大陆清真寺理事会
'ou'zhou'yi'si'lan'li'shi'hui 欧洲伊斯兰理事会
'pan'ji'pi'er'pai 潘吉皮尔派
'qi'dang'lian'meng 七党联盟
'qi'si'ti'jiao'tuan 契斯提教团
'qi'ya'ni'jiao'tuan 齐亚尼教团
'qi'yi'ma'mu'pai 七伊玛目派
'qian'ze'pai 谴责派
'qing'zhen'jiao 清真教
'qing'zhen'xue'she 清真学社
'qu'suo'ma 曲索麻
'quan'guo'yi'si'lan'zhen'xian 全国伊斯兰阵线
'rou'shen'pai 肉身派
'sa'ban'pai 萨班派
'sa'la'jiao 撒拉教
'sa'li'mu'pai 萨里姆派
'sa'li'mu'xue'pai 萨里姆学派
'sa'man'jiao'tuan 萨曼教团
'sai'ba'yi'pai 赛巴伊派
'sai'er'de'jiao'tuan 赛尔德教团
'sai'la'li'ang'mu'si'lin'da'hui 塞拉利昂穆斯林大会
'sai'lai'fei'su'fei'xue'pai 赛莱菲苏非学派
'sai'lai'fei'ya'pai 赛莱菲亚派
'sai'lai'fei'ye 赛莱菲耶
'sai'nu'xi'jiao'tuan 赛努西教团
'sai'she'er'yi'si'lan'xie'hui 塞舌尔伊斯兰协会
'san'tai'jiao'pai 三抬教派
'sha'fa'wei'jiao'tuan 沙法维教团
'sha'fei'yi'xue'pai 沙斐仪学派
'sha'gou'men'huan 沙沟门宦
'sha'li'he'jiao'tuan 沙利赫教团
'sha'li'xi'pai 沙里西派
'sha'man'ni'jiao'tuan 沙曼尼教团
'sha'ta'li'jiao'tuan 沙塔里教团
'sha'zi'li'jiao'tuan 沙兹里教团
'sha'zi'lin'ye 沙孜林耶
'shang'hai'qing'zhen'dong'shi'hui 上海清真董事会
'she'hui'jin'bu'dang 社会进步党
'sheng'men'di'zi'tuan 圣门弟子团
'sheng'xun'pai 圣训派
'sheng'xun'pai'yi'si'lan'xue'zhe'xie'hui 圣训派伊斯兰学者协会
'shi'er'yi'ma'mu'pai 十二伊玛目派
'shi'jie'mu'si'lin'qing'nian'da'hui 世界穆斯林青年大会
'shi'jie'yi'si'lan'jiao'da'hui 世界伊斯兰教大会
'shi'jie'yi'si'lan'she'tuan 世界伊斯兰社团
'shi'ye'pai 什叶派
'shi'ye'pai 十叶派
'shou'qian'ze'pai 受谴责派
'shu'xing'pai 属性派
'shu'zui'yu'qian'xi'zu'zhi 赎罪与迁徙组织
'su'dan'wu'ma'dang 苏丹乌玛党
'su'fei'jiao'tuan 苏非教团
'su'fei'pai 苏非派
'su'ha'la'wa'di'jiao'tuan 苏哈拉瓦迪教团
'su'lai'man'pai 苏莱曼派
'su'li'nan'mu'si'lin'zong'hui 苏里南穆斯林总会
'su'ma'te'pai 苏玛特派
'su'ming'lun'pai 宿命论派
'su'pai 苏派
'ta'ge'li'de'pai 塔格利德派
'ta'ha'wei'pai 塔哈维派
'tai'guo'yi'si'lan'jiao'xie'hui 泰国伊斯兰教协会
'tai'wan'zhong'guo'hui'jiao'wen'hua'jiao'yu'ji'jin'hui 台湾中国回教文化教育基金会
'tai'yi'bu'chuan'dao'hui 台伊布传道会
'tai'yi'bu'pai 台伊布派
'ti'jia'ni'jiao'tuan 提加尼教团
'tian'fang'jiao 天方教
'tong'gui'men'huan 通贵门宦
'tu'er'qi'jiu'guo'dang 土耳其救国党
'tu'er'qi'tong'yi'dang 土耳其统一党
'tu'ma'ni'pai 图马尼派
'wa'ha'bi'pai 瓦哈比派
'wa'ji'fa'pai 瓦基法派
'wa'yi'suo'fu'pai 瓦伊索夫派
'wu'ba'de'pai 乌巴德派
'wu'gan'da'mu'si'lin'zui'gao'li'shi'hui 乌干达穆斯林最高理事会
'wu'su'er'xue'pai 乌苏尔学派
'wu'wei'si'jiao'tuan 乌韦斯教团
'xi'dao'tang 西道堂
'xian'men'men'huan 鲜门门宦
'xiang'gang'hui'jiao'xin'tuo'ji'jin'zong'hui 香港回教信托基金总会
'xiang'gang'yi'si'lan'lian'hui 香港伊斯兰联会
'xie'he'xue'pai 谢赫学派
'xin'han'bai'li'pai 新罕百里派
'xin'jia'po'mu'si'lin'chuan'jiao'hui 新加坡穆斯林传教会
'xin'jia'po'mu'si'lin'zong'jiao'li'shi'hui 新加坡穆斯林宗教理事会
'xin'jiao 新教
'xin'sheng'xun'pai 新圣训派
'xin'su'fei'pai 新苏非派
'xin'xi'lan'guo'ji'mu'si'lin'xie'hui 新西兰国际穆斯林协会
'xin'xing'pai 新兴派
'xun'nai'he'da'zhong'pai 逊奈和大众派
'xun'ni'pai 逊尼派
'xun'ni'su'fei'xue'pai 逊尼苏非学派
'ya'tai'qing'zhen'si'li'shi'hui 亚太清真寺理事会
'ya'tou'men'huan 崖头门宦
'yao'tou'pai 摇头派
'yi'ba'ha'pai 伊巴哈派
'yi'ba'xi'ye'pai 伊巴希叶派
'yi'chan'lai'er 依禅来尔
'yi'chan'pai 依禅派
'yi'da'li'yi'si'lan'wen'hua'zhong'xin 意大利伊斯兰文化中心
'yi'de'li'si'jiao'tuan 伊德里斯教团
'yi'he'wa'ni 伊合瓦尼
'yi'jian'pai 意见派
'yi'lang'ren'min'sheng'zhan'zhe'zu'zhi 伊朗人民圣战者组织
'yi'ma'mu'pai 伊玛目派
'yi'sha'wei'jiao'tuan 伊沙维教团
'yi'si'fa'han'xue'pai 伊斯法罕学派
'yi'si'ha'ge'pai 伊斯哈格派
'yi'si'lan'cu'jin'hui 伊斯兰促进会
'yi'si'lan'fa'zhan'yin'hang 伊斯兰发展银行
'yi'si'lan'gong'he'dang 伊斯兰共和党
'yi'si'lan'he'zuo'ji'jin'hui 伊斯兰合作基金会
'yi'si'lan'hui'yi'zu'zhi 伊斯兰会议组织
'yi'si'lan'jiao'jiao'pai'zu'zhi'ci'ku 伊斯兰教教派组织词库
'yi'si'lan'jiao'shi'jie'lian'meng 伊斯兰教世界联盟
'yi'si'lan'jiao'shi'lian'he'hui 伊斯兰教师联合会
'yi'si'lan'jiao'xuan'jiao'xie'hui 伊斯兰教宣教协会
'yi'si'lan'jie'fang'zu'zhi 伊斯兰解放组织
'yi'si'lan'jin'rong'zong'bu 伊斯兰金融总部
'yi'si'lan'qing'xiang'yun'dong 伊斯兰倾向运动
'yi'si'lan'xue'zhe'lian'he'hui 伊斯兰学者联合会
'yi'si'lan'xue'zhe'xie'hui 伊斯兰学者协会
'yi'si'lan'yan'jiu'hui 伊斯兰研究会
'yi'si'lan'yi'shi'xing'tai'gu'wen'wei'yuan'hui 伊斯兰意识形态顾问委员会
'yi'si'lan'yu'xi'fang'xie'hui 伊斯兰与西方协会
'yi'si'ma'yi'jiao'tuan 伊斯玛仪教团
'yi'si'ma'yi'pai 伊斯玛仪派
'yin'du'yi'si'lan'xue'zhe'xie'hui 印度伊斯兰学者协会
'yin'ni'mu'si'lin'dang 印尼穆斯林党
'yin'ni'yi'si'lan'jiao'lian'meng'dang 印尼伊斯兰教联盟党
'ying'guo'yi'si'lan'ji'jin'hui 英国伊斯兰基金会
'you'nu'si'pai 优努斯派
'zai'de'pai 栽德派
'zao'qi'jiao'fa'xue'pai 早期教法学派
'zha'de'min'zu'jie'fang'zhen'xian 乍得民族解放阵线
'zha'xi'er'xue'pai 札希尔学派
'zhao'ming'xue'pai 照明学派
'zhe'he'lin'ye 哲合林耶
'zhen'zhu'dang 真主党
'zheng'dao'pai 正道派
'zheng'jiao 正教
'zhi'jie'xue'pai 直解学派
'zhong'guo'hui'jiao'gong'hui 中国回教公会
'zhong'guo'hui'jiao'jiu'guo'xie'hui 中国回教救国协会
'zhong'guo'hui'jiao'ju'jin'hui 中国回教俱进会
'zhong'guo'hui'jiao'xie'hui 中国回教协会
'zhong'guo'hui'jiao'xue'hui 中国回教学会
'zhong'guo'yi'si'lan'bu'dao'hui 中国伊斯兰布道会
'zhong'guo'yi'si'lan'jiao'xie'hui 中国伊斯兰教协会
'zhong'hua'hui'jiao'gong'hui 中华回教公会
'zi'you'si'xiang'pai 自由思想派
'zun'fa'pai 遵法派
'zun'gu'jiao 遵古教
