'ai'mo'da'yu'xin'si 哀莫大于心死
'suo'da'fei'suo'wen 所答非所问
'ta'po'tie'xie'wu'mi'chu 踏破铁鞋无觅处
'ta'po'tie'xie'wu'mi'chu'de'lai'quan'bu'fei'gong'fu 踏破铁鞋无觅处得来全不费功夫
'tai'gong'diao'yu'yuan'zhe'shang'gou 太公钓鱼愿者上钩
'tai'sui'tou'shang'dong'tu 太岁头上动土
'tan'duo'jiao'bu'lan 贪多嚼不烂
'tang'lang'bu'chan'huang'que'zai'hou 螳螂捕蝉黄雀在后
'tang'shang'yi'hu'jie'xia'bai'nuo 堂上一呼阶下百诺
'tao'hua'yuan 桃花源
'tao'li'bu'yan'xia'zi'cheng'xi 桃李不言下自成蹊
'tao'li'man'tian'xia 桃李满天下
'ti'gu'ren'dan'you 替古人耽忧
'ti'gu'ren'dan'you 替古人担忧
'ti'zui'yang 替罪羊
'tian'gao'huang'di'yuan 天高皇帝远
'tian'ji'bu'ke'xie'lou 天机不可泄露
'tian'wang'hui'hui'shu'er'bu'lou 天网恢恢疏而不漏
'tian'wu'jue'ren'zhi'lu 天无绝人之路
'tian'xia'ben'wu'shi'yong'ren'zi'rao'zhi 天下本无事庸人自扰之
'tian'xia'di'yi'hao 天下第一号
'tian'xia'wu'nan'shi 天下无难事
'tian'xia'xing'wang'pi'fu'you'ze 天下兴亡匹夫有责
'tian'you'bu'ce'feng'yun 天有不测风云
'tian'zhi'di'zhi'ni'zhi'wo'zhi 天知地知你知我知
'tian'zi'wu'xi'yan 天子无戏言
'tie'gong'ji 铁公鸡
'ting'qi'yan'er'guan'qi'xing 听其言而观其行
'tou'ji'bu'zhao'shi'ba'mi 偷鸡不着蚀把米
'tu'qiong'bi'shou'jian 图穷匕首见
'wan'bian'bu'li'qi'zong 万变不离其宗
'wan'lv'cong'zhong'yi'dian'hong 万绿从中一点红
'wan'shi'ju'bei'zhi'qian'dong'feng 万事俱备只欠东风
'wang'nian'jiao 忘年交
'wang'ri'wu'chou'jin'ri'wu'yuan 往日无仇近日无冤
'wang'zhe'bu'ke'jian'lai'zhe'you'ke'zhui 往者不可谏来者犹可追
'wang'zi'fan'fa'shu'min'tong'zui 王子犯法庶民同罪
'wei'kong'tian'xia'bu'luan 惟恐天下不乱
'wei'wu'bu'neng'qu 威武不能屈
'wei'you'du'shu'gao 惟有读书高
'wei'yuan'qu'yu'wei'cong'qu'que 为渊驱鱼为从驱雀
'wen'ming'bu'ru'jian'mian 闻名不如见面
'wen'qi'wu'bu'qi 文齐武不齐
'wen'wu'zhi'dao'yi'zhang'yi'chi 文武之道一张一弛
'wo'ta'zhi'ce'qi'rong'ta'ren'han'shui 卧榻之侧岂容他人鼾睡
'wu'bu'ping'ze'ming 物不平则鸣
'wu'che'shu 五车书
'wu'di'dong 无底洞
'wu'du'bu'zhang 无毒不丈
'wu'feng'bu'qi'lang 无风不起浪
'wu'guan'yi'shen'qing 无官一身轻
'wu'ke'nai'he'hua'luo'qu 无可奈何花落去
'wu'li'zhui'zhi'di 无立锥之地
'wu'li'zu'zhi'di 无立足之地
'wu'mian'mu'jian'jiang'dong'fu'lao 无面目见江东父老
'wu'qiao'bu'cheng'shu 无巧不成书
'wu'shi'bu'deng'san'bao'dian 无事不登三宝殿
'wu'shi'bu'xiao'bai'bu 五十步笑百步
'wu'wang'er'bu'sheng 无往而不胜
'wu'yi'e'xiao'er'wei'zhi 勿以恶小而为之
'wu'yi'lei'ju'ren'yi'qun'fen 物以类聚人以群分
'wu'yi'xi'wei'gui 物依稀为贵
'wu'yuan'zhi'shui'wu'ben'zhi'mu 无源之水无本之木
'wu'zi'cheng'yu 五字成语
'wu'zi'cheng'yu'da'quan 五字成语大全
'xi'guan'cheng'zi'ran 习惯成自然
'xia'bi'qian'yan'li'ti'wan'li 下笔千言离题万里
'xia'bi'ru'you'shen 下笔如有神
'xia'ma'wei 下马威
'xian'tian'xia'zhi'you'er'you'hou'tian'xia'zhi'le'er'le 先天下之忧而忧后天下之乐而乐
'xian'xia'shou'wei'qiang 先下手为强
'xiang'er'zhi'xia'bi'you'si'yu 香饵之下必有死鱼
'xiang'sha'you'jie'shi 象煞有介事
'xiang'zhuang'wu'jian'yi'zai'pei'gong 项庄舞剑意在沛公
'xiao'bu'ren'ze'luan'da'mou 小不忍则乱大谋
'xiao'guang'bo 小广播
'xiao'mian'hu 笑面虎
'xiao'wu'jian'da'wu 小巫见大巫
'xie'tian'zi'yi'ling'zhu'hou 挟天子以令诸侯
'xie'yu'hua 解语花
'xin'you'ling'xi'yi'dian'tong 心有灵犀一点通
'xin'you'yu'er'li'bu'zu 心有余而力不足
'xing'bu'geng'ming'zuo'bu'gai'xing 行不更名坐不改姓
'xing'xing'xi'xing'xing 惺惺惜惺惺
'xing'xing'zhi'huo'ke'yi'liao'yuan 星星之火可以燎原
'xuan'yang'tou'mai'gou'rou 悬羊头卖狗肉
'xue'er'you'ze'shi 学而优则仕
'xun'lei'bu'ji'yan'er 迅雷不及掩耳
'yan'bi'xing'xing'bi'guo 言必行行必果
'yan'bu'jian'wei'jing 眼不见为净
'yan'bu'jian'xin'bu'fan 眼不见心不烦
'yan'guan'liu'lu'er'ting'ba'fang 眼观六路耳听八方
'yan'jian'wei'shi'er'ting'wei'xu 眼见为实耳听为虚
'yan'que'an'zhi'hong'hu'zhi'zhi 燕雀安知鸿鹄之志
'yan'zhe'wu'zui'wen'zhe'zu'jie 言者无罪闻者足戒
'yan'zhi'zhun'zhun'ting'zhi'miao'miao 言之谆谆听之藐藐
'yan'zhong'ci 眼中刺
'yan'zhong'ding 眼中钉
'yan'zhong'ding'rou'zhong'ci 眼中钉肉中刺
'yang'bing'qian'ri'yong'bing'yi'shi 养兵千日用兵一时
'yang'er'fang'lao'ji'gu'fang'ji 养儿防老积谷防饥
'yang'mao'chu'zai'yang'shen'shang 羊毛出在羊身上
'yao'qian'shu 摇钱树
'ye'huo'shao'bu'jin'chun'feng'chui'you'sheng 野火烧不尽春风吹又生
'yi'bai'er'shi'hang 一百二十行
'yi'bang'yi'tiao'hen 一棒一条痕
'yi'ben'hua'hu'lu 依本画葫芦
'yi'bi'kong'chu'qi 一鼻孔出气
'yi'bo'wei'ping'yi'bo'you'qi 一波未平一波又起
'yi'bu'bian'ying'wan'bian 以不变应万变
'yi'bu'zuo'er'bu'xiu 一不做二不休
'yi'chao'tian'zi'yi'chao'chen 一朝天子一朝臣
'yi'chuan'shi'shi'chuan'bai 一传十十传百
'yi'cun'guang'yin'yi'cun'jin 一寸光阴一寸金
'yi'dao'qie 一刀切
'yi'dong'bu'ru'yi'jing 一动不如一静
'yi'duo'bu'ya'shen 艺多不压身
'yi'er'er'er'er'yi 一而二二而一
'yi'er'zai'zai'er'san 一而再再而三
'yi'fa'er'bu'ke'shou'shi 一发而不可收拾
'yi'fo'chu'shi'er'fo'nie'pan 一佛出世二佛涅盘
'yi'fo'chu'shi'er'fo'sheng'tian 一佛出世二佛升天
'yi'fu'chu'si'wan'sheng'bu'qing 一夫出死万乘不轻
'yi'fu'dang'guan'wan'fu'mo'kai 一夫当关万夫莫开
'yi'ge'ba'zhang'pai'bu'xiang 一个巴掌拍不响
'yi'gun'da'yi'chuan 一棍打一船
'yi'gun'zi'da'si 一棍子打死
'yi'ju'shou'zhi'lao 一举手之劳
'yi'ke'bu'fan'er'zhu 一客不烦二主
'yi'lai'shen'shou'fan'lai'zhang'kou 衣来伸手饭来张口
'yi'mu'san'zhuo'fa 一沐三捉发
'yi'nian'zhi'ji'zai'yu'chun 一年之计在于春
'yi'qi'hun'hun'shi'ren'zhao'zhao 以其昏昏使人昭昭
'yi'qi'ren'zhi'dao'huan'zhi'qi'ren'zhi'shen 以其人之道还治其人之身
'yi'qu'bu'fu'fan 一去不复返
'yi'quan'fei'xing'bai'quan'fei'sheng 一犬吠形百犬吠声
'yi'ren'chuan'xu'wan'ren'chuan'shi 一人传虚万人传实
'yi'ren'de'dao'ji'quan'sheng'tian 一人得道鸡犬升天
'yi'ren'pin'ming'wan'fu'mo'dang 一人拼命万夫莫当
'yi'ren'wu'shi'shi'ren'wu'yi 疑人勿使使人勿疑
'yi'ren'xiang'yu'man'zuo'bu'le 一人向隅满座不乐
'yi'ren'zuo'shi'yi'ren'dang 一人做事一人当
'yi'ri'bu'jian'ru'ge'san'qiu 一日不见如隔三秋
'yi'ri'wei'shi'zhong'sheng'wei'fu 一日为师终生为父
'yi'shi'yi'er'shi'er 一是一二是二
'yi'shi'zu'cheng'qian'gu'hen 一失足成千古恨
'yi'tui'liu'er'wu 一退六二五
'yi'wen'san'bu'zhi 一问三不知
'yi'wu'xiang'yi'wu 一物降一物
'yi'xiao'ren'zhi'xin'duo'jun'zi'zhi'fu 以小人之心度君子之腹
'yi'xin'gua'liang'tou 一心挂两头
'yi'xin'sheng'an'gui 疑心生暗鬼
'yi'yan'chao'bai'zhong 一言抄百种
'yi'yan'huan'yan'yi'ya'huan'ya 以眼还眼以牙还牙
'yi'yan'ji'chu'ru'bai'ran'zao 一言既出如白染皂
'yi'yan'ji'chu'si'ma'nan'zhui 一言既出驷马难追
'yi'yan'yi'bi'zhi 一言以蔽之
'yi'yang'hua'hu'lu 依样画葫芦
'yi'ye'zhang'mu'bu'jian'tai'shan 一叶障目不见泰山
'yi'ze'yi'xi'yi'ze'yi'ju 一则以喜一则以惧
'yi'zhao'bei'she'yao'shi'nian'pa'jing'sheng 一朝被蛇咬十年怕井绳
'yi'zhao'bu'shen'man'pan'jie'shu 一着不慎满盘皆输
'yi'zhao'quan'zai'shou'bian'ba'ling'lai'xing 一朝权在手便把令来行
'yi'zi'chang'she'zhen 一字长蛇阵
'yi'zi'zhi'mao'gong'zi'zhi'dun 以子之矛攻子之盾
'yi'zi'zhi'qian'jin 一字值千金
'ying'sheng'chong 应声虫
'ying'xiong'suo'jian'lue'tong 英雄所见略同
'ying'xiong'wu'yong'wu'zhi'di 英雄无用武之地
'yong'ren'bu'yi'yi'ren'bu'yong 用人不疑疑人不用
'you'bai'hai'er'wu'yi'li 有百害而无一利
'you'fu'tong'xiang'you'nan'tong'dang 有福同享有难同当
'you'guo'zhi'er'wu'bu'ji 有过之而无不及
'you'qian'neng'shi'gui'tui'mo 有钱能使鬼推磨
'you'suo'bu'wei'er'hou'ke'yi'you'wei 有所不为而后可以有为
'you'yan'bu'shi'tai'shan 有眼不识泰山
'you'ze'gai'zhi'wu'ze'jia'mian 有则改之无则加勉
'you'zhi'bu'zai'nian'gao 有志不在年高
'you'zhi'zhe'shi'jing'cheng 有志者事竟成
'yu'bang'xiang'chi'yu'ren'huo'li 鹬蚌相持渔人获利
'yu'bang'xiang'zheng'yu'weng'de'li 鹬蚌相争渔翁得利
'yu'bu'zhuo'bu'cheng'qi 玉不琢不成器
'yu'jia'zhi'zui'he'huan'wu'ci 欲加之罪何患无辞
'yu'qiong'qian'li'mu'geng'shang'yi'ceng'lou 欲穷千里目更上一层楼
'yu'ren'fang'bian'zi'ji'fang'bian 与人方便自己方便
'yu'ren'wu'zhi'mo'ruo'wu'wei 欲人勿知莫若勿为
'yu'su'ze'bu'da 欲速则不达
'yu'zhe'qian'lv'bi'you'yi'de 愚者千虑必有一得
'yuan'chou'yi'jie'bu'yi'jie 冤仇宜解不宜结
'yuan'ge'you'tou'zhai'ge'you'zhu 冤各有头债各有主
'yuan'shui'bu'jie'jin'ke 远水不解近渴
'yuan'shui'bu'jiu'jin'huo 远水不救近火
'yuan'you'tou'zhai'you'zhu 冤有头债有主
'yuan'zai'tian'bian'jin'zai'yan'qian 远在天边近在眼前
'yue'yun'er'feng'chu'run'er'yu 月晕而风础润而雨
'yun'yong'zhi'miao'cun'hu'yi'xin 运用之妙存乎一心
'yun'yong'zhi'miao'zai'yu'yi'xin 运用之妙在于一心
'zai'ren'ai'yan'xia'zen'gan'bu'di'tou 在人矮檐下怎敢不低头
'zai'xiang'du'li'neng'cheng'chuan 宰相肚里能撑船
'zao'kang'zhi'qi'bu'xia'tang 糟糠之妻不下堂
'zao'zhi'jin'ri'he'bi'dang'chu 早知今日何必当初
'zhang'er'he'shang'mo'bu'zhao'tou'nao 丈二和尚摸不着头脑
'zhao'hu'lu'hua'piao 照葫芦画瓢
'zhao'wen'dao'xi'si'ke'yi 朝闻道夕死可矣
'zhao'zhi'ji'lai'hui'zhi'ji'qu 招之即来挥之即去
'zhen'jin'bu'pa'huo'lian 真金不怕火炼
'zheng'yan'xia 睁眼瞎
'zhi'bi'yan'yan'bi'jin 知必言言必尽
'zhi'biao'bu'zhi'ben 治标不治本
'zhi'ci'yi'jia'bie'wu'fen'dian 只此一家别无分店
'zhi'jian'shu'mu'bu'jian'sen'lin 只见树木不见森林
'zhi'ke'yi'hui'bu'ke'yan'chuan 只可意会不可言传
'zhi'lao'hu 纸老虎
'zhi'qi'yi'bu'zhi'qi'er 知其一不知其二
'zhi'ren'zhi'mian'bu'zhi'xin 知人知面不知心
'zhi'wu'bu'yan'yan'wu'bu'jin 知无不言言无不尽
'zhi'xu'zhou'guan'fang'huo'bu'xu'bai'xing'dian'deng 只许州官放火不许百姓点灯
'zhi'yao'gong'fu'shen'tie'chu'mo'cheng'zhen 只要功夫深铁杵磨成针
'zhi'yi'er'bu'zhi'er 知一而不知二
'zhi'zhe'qian'lv'bi'you'yi'shi 智者千虑必有一失
'zhi'zhi'qi'yi'bu'zhi'qi'er 只知其一不知其二
'zhi'zhi'si'di'er'hou'sheng 置之死地而后生
'zhi'zhi'wei'zhi'zhi'bu'zhi'wei'bu'zhi 知之为知之不知为不知
'zhi'zhong'yi'shan'bu'zhong'ren 只重衣衫不重人
'zhi'zi'mo'ruo'fu 知子莫若父
'zhong'chen'bu'shi'er'jun'lie'nv'bu'geng'er'fu 忠臣不事二君烈女不更二夫
'zhong'fei'chi'zhong'wu 终非池中物
'zhong'gua'de'gua'zhong'dou'de'dou 种瓜得瓜种豆得豆
'zhong'nu'ru'shui'huo 众怒如水火
'zhong'ren'shi'chai'huo'yan'gao 众人拾柴火焰高
'zhong'shang'zhi'xia'bi'you'yong'fu 重赏之下必有勇夫
'zhuo'jiang'guan'li'qu 捉将官里去
'zi'yi'wei'de'ji 自以为得计
'zou'guo'chang 走过场
'zou'le'he'shang'zou'bu'liao'miao 走了和尚走不了庙
'zu'shu'yao'shun'xian'zhang'wen'wu 祖述尧舜宪章文武
'zuan'kong'zi 钻空子
'zui'weng'zhi'yi'bu'zai'jiu 醉翁之意不在酒
'zuo'shan'guan'hu'dou 坐山观虎斗
'zuo'shou'yu'ren'zhi'li 坐收渔人之利
