'a'da'pa'lin'ning'jiao 阿达帕林凝胶
'chang'wei'ning'pian 肠胃宁片
'chang'wei'ning'pian'lan 肠胃宁片蓝
'chang'yan'ning'pian 肠炎宁片
'chi'tong'xiao'yan'ling'ke'li 齿痛消炎灵颗粒
'chu'shi'bai'dai'wan 除湿白带丸
'chu'zhi'sheng'fa'pian 除脂生发片
'chuan'bei'luo'han'zhi'ke'ke'li 川贝罗汉止咳颗粒
'chuan'bei'qing'fei'tang'jiang 川贝清肺糖浆
'chun'chi'qing'wei'wan 唇齿清胃丸
'cu'suan'lv'ji'ding'zhi'chuang'shuan'ha'yao 醋酸氯己定痔疮栓哈药
'da'bai'du'jiao'nang 大败毒胶囊
'da'huang'li'dan'pian 大黄利胆片
'da'shan'zha'ke'li 大山楂颗粒
'da'shan'zha'wan 大山楂丸
'dan'ning'pian 胆宁片
'dan'pi'fen'ruan'gao 丹皮酚软膏
'dan'shen'shu'xin'jiao'nang 丹参舒心胶囊
'dan'shu'ruan'jiao'nang 胆舒软胶囊
'dan'xiang'bi'yan'pian 胆香鼻炎片
'dan'xiao'suan'yi'shan'li'zhi'huan'shi'pian 单硝酸异山梨酯缓释片
'di'ao'xin'xue'kang'ruan'jiao'nang 地奥心血康软胶囊
'di'lv'lei'ta'ding'fen'san'pian 地氯雷他定分散片
'di'lv'lei'ta'ding'gan'hun'xuan'ji 地氯雷他定干混悬剂
'di'tong'bi'yan'shui 滴通鼻炎水
'dian'ding 碘酊
'dian'qie'huang'bian'ding'pian 颠茄磺苄啶片
'die'da'hong'yao'jiao'nang 跌打红药胶囊
'die'da'hong'yao'pian 跌打红药片
'die'da'niu'shang'ling'ding 跌打扭伤灵酊
'ding'peng'ru'gao 丁硼乳膏
'ding'suan'qing'hua'ke'di'song'ru'gao 丁酸氢化可的松乳膏
'dong'ling'cao'pian 冬凌草片
'du'huo'ji'sheng'wan 独活寄生丸
'du'yi'wei'fen'san'pian 独一味分散片
'du'yi'wei'ruan'jiao'nang 独一味软胶囊
'du'zhong'ping'ya'pian 杜仲平压片
'duan'xue'liu'jiao'nang 断血流胶囊
'dui'yi'xian'an'ji'fen'huan'shi'pian 对乙酰氨基酚缓释片
'dui'yi'xian'an'ji'fen'pao'teng'ke'li 对乙酰氨基酚泡腾颗粒
'dui'yi'xian'an'ji'fen'pian 对乙酰氨基酚片
'duo'pan'li'tong'kou'qiang'beng'jie'pian 多潘立酮口腔崩解片
'duo'pan'li'tong'pian 多潘立酮片
'duo'suo'cha'jian'pian 多索茶碱片
'duo'wei'yuan'su'pian 多维元素片
'e'bei'sha'tan'pian 厄贝沙坦片
'e'bei'sha'tan'qing'lv'sai'qin'fen'san'pian 厄贝沙坦氢氯噻嗪分散片
'en'ti'ka'wei'fen'san'pian 恩替卡韦分散片
'er'ding'ke'li 二丁颗粒
'er'long'wan 耳聋丸
'er'shi'qi'wei'ding'kun'wan 二十七味定坤丸
'fa'mo'ti'ding'fen'san'pian 法莫替丁分散片
'fan'xi'luo'wei'pian 泛昔洛韦片
'fang'feng'tong'sheng'wan 防风通圣丸
'fei'li'ke'he'ji 肺力咳合剂
'fei'luo'di'ping'huan'shi'pian 非洛地平缓释片
'fei'na'xiong'an'pian 非那雄胺片
'fei'ning'ke'li 肺宁颗粒
'fei'ning'pian 肺宁片
'feng'han'gan'mao'ke'li 风寒感冒颗粒
'feng'shi'ding'jiao'nang 风湿定胶囊
'feng'you'jing 风油精
'fu'fang'an'fen'wan'an'pian 复方氨酚烷胺片
'fu'fang'bai'bu'zhi'ke'ke'li 复方百部止咳颗粒
'fu'fang'bei'dou'gen'an'fen'na'min'pian 复方北豆根氨酚那敏片
'fu'fang'bei'mu'pian 复方贝母片
'fu'fang'bi'la'xi'tan'nao'dan'bai'shui'jie'wu'pian 复方吡拉西坦脑蛋白水解物片
'fu'fang'ci'wu'jia'pian 复方刺五加片
'fu'fang'cu'suan'di'sai'mi'song'ru'gao 复方醋酸地塞米松乳膏
'fu'fang'dan'shen'pian 复方丹参片
'fu'fang'dan'tong'jiao'nang 复方胆通胶囊
'fu'fang'e'zhu'you'shuan 复方莪术油栓
'fu'fang'gu'an'xian'an'ke'li 复方谷氨酰胺颗粒
'fu'fang'gua'zi'jin'ke'li 复方瓜子金颗粒
'fu'fang'hou'tou'ke'li 复方猴头颗粒
'fu'fang'huang'lian'su'pian 复方黄连素片
'fu'fang'ji'nei'jin'pian 复方鸡内金片
'fu'fang'jie'geng'zhi'ke'pian 复方桔梗止咳片
'fu'fang'jin'gang'wan'an'an'ji'bi'lin'pian 复方金刚烷胺氨基比林片
'fu'fang'jin'yin'hua'ke'li 复方金银花颗粒
'fu'fang'ku'shen'xi'ji 复方苦参洗剂
'fu'fang'long'dan'tan'suan'qing'na'pian 复方龙胆碳酸氢钠片
'fu'fang'lu'hui'jiao'nang 复方芦荟胶囊
'fu'fang'niao'wei'an'di'yan'ye 复方尿维氨滴眼液
'fu'fang'qing'xiu'suan'dong'lang'dang'jian'tie'gao 复方氢溴酸东莨菪碱贴膏
'fu'fang'san'qi'jiao'nang 复方三七胶囊
'fu'fang'shi'wei'jiao'nang 复方石韦胶囊
'fu'fang'tong'kang'zuo'fa'yong'xi'ji 复方酮康唑发用洗剂
'fu'fang'tong'kang'zuo'ru'gao 复方酮康唑乳膏
'fu'fang'xian'he'cao'chang'yan'pian 复方仙鹤草肠炎片
'fu'fang'xiao'bo'jian'rou'suan'dan'bai'jiao'nang 复方小檗碱鞣酸蛋白胶囊
'fu'fang'xiao'er'tui're'shuan 复方小儿退热栓
'fu'fang'xiong'dan'bo'he'han'pian 复方熊胆薄荷含片
'fu'fang'xiong'dan'di'yan'ye 复方熊胆滴眼液
'fu'fang'ya'tong'ding 复方牙痛酊
'fu'fang'yan'bai'cai'su'pian 复方岩白菜素片
'fu'fang'yang'jiao'ke'li 复方羊角颗粒
'fu'fang'zhang'nao'ru'gao 复方樟脑乳膏
'fu'gui'feng'shi'gao 附桂风湿膏
'fu'jie'shu'xi'ye 妇洁舒洗液
'fu'ke'an'pian 腹可安片
'fu'ke'tiao'jing'pian 妇科调经片
'fu'ke'zhi'dai'pian 妇科止带片
'fu'ning'shuan 妇宁栓
'fu'sai'mi'pian 呋塞米片
'fu'shen'ning'jiao'nang 复肾宁胶囊
'fu'yan'kang'fu'pian 妇炎康复片
'fu'yan'kang'pian 妇炎康片
'fu'yan'kang'ruan'jiao'nang 妇炎康软胶囊
'fu'yang'ke'li 肤痒颗粒
'fu'zi'li'zhong'wan 附子理中丸
'gan'fu'kang'wan 肝复康丸
'gan'mao'ling'ke'li 感冒灵颗粒
'gan'mao'ruan'jiao'nang 感冒软胶囊
'gan'mao'shu'feng'ke'li 感冒疏风颗粒
'gan'mao'zhi'ke'pian 感冒止咳片
'gan'wei'qi'tong'pian 肝胃气痛片
'gang'tai'shuan 肛泰栓
'ge'jie'ding'chuan'wan 蛤蚧定喘丸
'ge'lie'mei'niao'pian 格列美脲片
'ge'lie'qi'te'huan'shi'pian 格列齐特缓释片
'gen'tong'ping'jiao'nang 根痛平胶囊
'gong'yan'ping'fen'san'pian 宫炎平分散片
'gu'an'xian'an'ke'li 谷氨酰胺颗粒
'gu'ben'ke'chuan'jiao'nang 固本咳喘胶囊
'gu'ci'pian 骨刺片
'gu'jin'wan'jiao'nang 骨筋丸胶囊
'gu'shen'sheng'fa'wan 固肾生发丸
'gu'tai'pian 骨肽片
'guan'jie'zhi'tong'gao 关节止痛膏
'guan'mai'ning'pian 冠脉宁片
'guan'xin'sheng'mai'wan 冠心生脉丸
'gui'fu'di'huang'wan 桂附地黄丸
'gui'long'jin'gu'ning'pian 归龙筋骨宁片
'gui'pi'wan 归脾丸
'gui'zhi'fu'ling'wan 桂枝茯苓丸
'he'gan'li'dan'ke'li 和肝利胆颗粒
'he'wei'liao'gan'ke'li 和胃疗疳颗粒
'hong'jin'xiao'jie'pian 红金消结片
'hong'mei'su'ruan'gao 红霉素软膏
'hong'mei'su'yan'gao 红霉素眼膏
'hong'yao'pian 红药片
'hou'ji'ling'pian 喉疾灵片
'hou'shu'ning'pian 喉舒宁片
'hou'tong'xiao'yan'wan 喉痛消炎丸
'hou'tou'jun'pian 猴头菌片
'hu'gan'pian 护肝片
'hu'po'an'shen'wan 琥珀安神丸
'hua'du'wan 化毒丸
'hua'mo'yan'ke'li 滑膜炎颗粒
'hua'tan'ping'chuan'pian 化痰平喘片
'hua'zhi'ling'pian 化痔灵片
'huai'jiao'wan 槐角丸
'huang'bai'jiao'nang 黄柏胶囊
'huang'lian'shang'qing'pian 黄连上清片
'huang'lian'shang'qing'wan 黄连上清丸
'huang'teng'su'ruan'jiao'nang 黄藤素软胶囊
'hui'san'liu'pian 茴三硫片
'huo'luo'xiao'tong'pian 活络消痛片
'huo'xiang'qing'wei'jiao'nang 藿香清胃胶囊
'huo'xiang'qing'wei'pian 藿香清胃片
'huo'xiang'qu'shu'ruan'jiao'nang 藿香祛暑软胶囊
'huo'xiang'zheng'qi'di'wan 藿香正气滴丸
'huo'xiang'zheng'qi'he'ji 藿香正气合剂
'huo'xiang'zheng'qi'jiao'nang 藿香正气胶囊
'huo'xiang'zheng'qi'pian 藿香正气片
'huo'xiang'zheng'qi'shui 藿香正气水
'huo'xue'zhi'tong'pian 活血止痛片
'ji'gan'pian 肌苷片
'ji'sheng'shen'qi'wan 济生肾气丸
'jia'fen'na'suan'pian 甲芬那酸片
'jia'gu'an'pian 甲钴胺片
'jia'ti'sha'xing'pian 加替沙星片
'jia'wei'xiao'yao'wan 加味逍遥丸
'jia'xiao'zuo'fen'bu'fen'jiao'nang 甲硝唑芬布芬胶囊
'jia'xiao'zuo'huan'shi'pian 甲硝唑缓释片
'jia'xiao'zuo'lv'yi'ding'xi'ji 甲硝唑氯已定洗剂
'jia'xiao'zuo'shuan 甲硝唑栓
'jian'er'qing'jie'ye 健儿清解液
'jian'pi'wan 健脾丸
'jiang'tang'tong'mai'pian 降糖通脉片
'jiang'ya'pian 降压片
'jiang'zhi'ning'ke'li 降脂宁颗粒
'jiao'ti'guo'jiao'bi'jiao'nang 胶体果胶铋胶囊
'jie'gu'wan 接骨丸
'jie'yu'an'shen'ke'li 解郁安神颗粒
'jin'guo'yin'yan'hou'pian 金果饮咽喉片
'jin'kui'shen'qi'wan 金匮肾气丸
'jing'du'nian'ci'an'mi'lian'chuan'bei'pi'pa'gao 京都念慈菴蜜炼川贝枇杷膏
'jing'shi'ling'jiao'nang 净石灵胶囊
'jing'shi'ling'pian 净石灵片
'jing'wan'hong'zhi'chuang'gao 京万红痔疮膏
'jing'zhi'gou'pi'gao 精制狗皮膏
'jing'zhi'yin'qiao'jie'du'pian 精制银翘解毒片
'jiu'shi'suan'mei'tuo'luo'er'pian 酒石酸美托洛尔片
'ju'hong'ke'li 橘红颗粒
'ju'hong'tan'ke'ke'li 橘红痰咳颗粒
'ju'hong'tan'ke'ye 橘红痰咳液
'ju'hong'wan 橘红丸
'ju'yuan'suan'jia'ke'li 枸橼酸钾颗粒
'ju'yuan'suan'mo'sha'bi'li'pian 枸橼酸莫沙必利片
'ka'tuo'pu'li'pian 卡托普利片
'kai'hou'jian'pen'wu'ji'er'tong'xing 开喉剑喷雾剂儿童型
'kai'sai'lu 开塞露
'kai'sai'lu'han'gan'you 开塞露含甘油
'kai'xiong'shun'qi'wan 开胸顺气丸
'kai'xiong'xiao'shi'pian 开胸消食片
'kai'yu'shu'gan'wan 开郁舒肝丸
'kan'di'sha'tan'zhi'pian 坎地沙坦酯片
'kang'bing'du'pian 抗病毒片
'kang'fu'ruan'gao 康妇软膏
'kang'fu'xin'ye 康复新液
'kang'gan'jie'du'ke'li 抗感解毒颗粒
'kang'gong'yan'pian 抗宫炎片
'kang'gong'yan'ruan'jiao'nang 抗宫炎软胶囊
'kang'gu'zeng'sheng'pian 抗骨增生片
'kang'le'bi'yan'pian 康乐鼻炎片
'ke'la'mei'su'fen'san'pian 克拉霉素分散片
'ke'la'mei'su'pian 克拉霉素片
'ke'lin'mei'su'jia'xiao'zuo'cha'ji 克林霉素甲硝唑搽剂
'ke'mei'zuo'shuan 克霉唑栓
'kou'qiang'kui'yang'han'pian 口腔溃疡含片
'kou'qiang'yan'pen'wu'ji 口腔炎喷雾剂
'ku'shen'jian'shuan 苦参碱栓
'kun'bao'wan 坤宝丸
'la'jiao'feng'shi'gao 辣椒风湿膏
'la'yang'ya'bao'gan'jun'pian 蜡样芽胞杆菌片
'lan'ji'wan 烂积丸
'lan'suo'la'zuo'chang'rong'pian 兰索拉唑肠溶片
'lan'wei'xiao'yan'pian 阑尾消炎片
'le'ge'wang'jiao'nang 了哥王胶囊
'lei'bei'la'zuo'chang'rong'pian 雷贝拉唑肠溶片
'li'ba'wei'lin'fen'san'pian 利巴韦林分散片
'li'ba'wei'lin'han'pian 利巴韦林含片
'li'ba'wei'lin'ke'li 利巴韦林颗粒
'li'ba'wei'lin'pen'wu'ji 利巴韦林喷雾剂
'li'dan'pai'shi'pian 利胆排石片
'li'qi'shu'xin'pian 理气舒心片
'li'xin'wan 利心丸
'lian'qiao'bai'du'pian 连翘败毒片
'lian'qiao'bai'du'wan 连翘败毒丸
'lian'zhi'xiao'yan'di'wan 莲芝消炎滴丸
'lian'zhi'xiao'yan'jiao'nang 莲芝消炎胶囊
'lin'suan'ben'bing'pai'lin'pian 磷酸苯丙哌林片
'lin'suan'chuan'xiong'qin'pian 磷酸川芎嗪片
'ling'yang'qing'fei'ke'li 羚羊清肺颗粒
'liu'dan'huang'bi'ding'shuan 柳氮磺吡啶栓
'liu'jing'tou'tong'pian 六经头痛片
'liu'suan'an'ji'pu'tao'tang'jiao'nang'gu'li 硫酸氨基葡萄糖胶囊谷力
'liu'suan'an'ji'pu'tao'tang'ke'li 硫酸氨基葡萄糖颗粒
'liu'suan'qing'da'mei'su'tan'suan'bi'jiao'nang 硫酸庆大霉素碳酸铋胶囊
'liu'suan'xin'kou'fu'ye 硫酸锌口服液
'liu'wei'di'huang'jiao'nang 六味地黄胶囊
'liu'wei'di'huang'wan 六味地黄丸
'long'bi'shu'pian 癃闭舒片
'long'dan'xie'gan'wan 龙胆泻肝丸
'luo'hong'mei'su'fen'san'pian 罗红霉素分散片
'luo'hong'mei'su'gan'hun'xuan'ji 罗红霉素干混悬剂
'luo'hong'mei'su'jiao'nang 罗红霉素胶囊
'luo'hong'mei'su'ke'li 罗红霉素颗粒
'luo'hong'mei'su'pian 罗红霉素片
'luo'suo'luo'fen'na'fen'san'pian 洛索洛芬钠分散片
'luo'suo'luo'fen'na'jiao'nang 洛索洛芬钠胶囊
'luo'suo'luo'fen'na'pian 洛索洛芬钠片
'lv'fen'huang'min'pian 氯芬黄敏片
'lv'jiao'bu'xue'ke'li 驴胶补血颗粒
'lv'lei'ta'ding'jiao'nang 氯雷他定胶囊
'lv'lei'ta'ding'pian 氯雷他定片
'lv'mei'su'di'yan'ye 氯霉素滴眼液
'lv'tan'suan'mei'ju'jue'pian 铝碳酸镁咀嚼片
'ma'lai'suan'duo'pan'li'tong'pian 马来酸多潘立酮片
'ma'lai'suan'lv'ben'na'min'pian 马来酸氯苯那敏片
'ma'lai'suan'yi'na'pu'li'pian 马来酸依那普利片
'ma'ren'run'chang'wan 麻仁润肠丸
'ma'xing'zhi'ke'pian 麻杏止咳片
'mai'di'mei'su'pian 麦迪霉素片
'mao'dong'qing'pian 毛冬青片
'mei'sha'la'qin'chang'rong'pian 美沙拉秦肠溶片
'mei'suo'ba'mo'pian 美索巴莫片
'mei'xin'zuo'tong'shuan'ha'yao 美辛唑酮栓哈药
'meng'tuo'shi'san 蒙脱石散
'ming'mu'di'huang'wan 明目地黄丸
'ming'mu'ji'li'wan 明目蒺藜丸
'mo'pi'luo'xing'ruan'gao 莫匹罗星软膏
'mu'li'tan'suan'gai'ju'jue'pian 牡蛎碳酸钙咀嚼片
'mu'xiang'fen'qi'wan 木香分气丸
'mu'xiang'shun'qi'wan 木香顺气丸
'na'ru'san'wei'wan 那如三味丸
'nai'min'wei'di'yan'ye 萘敏维滴眼液
'nao'luo'tong'jiao'nang 脑络通胶囊
'nao'xin'shu'kou'fu'ye 脑心舒口服液
'ni'mei'shu'li'fen'san'pian 尼美舒利分散片
'ni'mei'shu'li'ke'li 尼美舒利颗粒
'ni'mo'di'ping'huan'shi'pian 尼莫地平缓释片
'ning'xin'bao'jiao'nang 宁心宝胶囊
'niu'huang'jie'du'pian 牛黄解毒片
'niu'huang'jie'du'wan 牛黄解毒丸
'niu'huang'qing'wei'wan 牛黄清胃丸
'niu'huang'shang'qing'pian 牛黄上清片
'niu'huang'shang'qing'wan 牛黄上清丸
'niu'huang'she'dan'chuan'bei'ye 牛黄蛇胆川贝液
'niu'huang'suan'di'yan'ye 牛磺酸滴眼液
'nuan'wei'shu'le'pian 暖胃舒乐片
'nuo'fu'sha'xing'jiao'nang 诺氟沙星胶囊
'pan'tuo'la'zuo'na'chang'rong'pian 泮托拉唑钠肠溶片
'pen'xi'luo'wei'ru'gao 喷昔洛韦乳膏
'pen'yan'jing'jiao'nang 盆炎净胶囊
'pi'fu'bing'xue'du'pian 皮肤病血毒片
'pi'fu'bing'xue'du'wan 皮肤病血毒丸
'pu'di'lan'xiao'yan'kou'fu'ye 蒲地蓝消炎口服液
'pu'di'lan'xiao'yan'pian 蒲地蓝消炎片
'pu'gong'ying'pian 蒲公英片
'pu'le'an'pian 普乐安片
'pu'le'an'pian'qian'lie'kang 普乐安片前列康
'pu'tao'tang'suan'xin'ke'li 葡萄糖酸锌颗粒
'pu'tao'tang'suan'xin'kou'fu'rong'ye 葡萄糖酸锌口服溶液
'qi'ju'di'huang'wan 杞菊地黄丸
'qian'lie'an'tong'jiao'nang 前列安通胶囊
'qian'lie'hui'chun'pian 前列回春片
'qian'lie'shu'le'jiao'nang 前列舒乐胶囊
'qian'lie'shu'le'ruan'jiao'nang 前列舒乐软胶囊
'qiang'li'pi'pa'lu 强力枇杷露
'qiang'li'zhi'ke'ning'pian 强力止咳宁片
'qin'huang'hou'zheng'jiao'nang 芩黄喉症胶囊
'qing'fei'hua'tan'wan 清肺化痰丸
'qing'fei'yi'huo'pian 清肺抑火片
'qing'guo'wan 青果丸
'qing'huo'pian 清火片
'qing'huo'zhi'mai'pian 清火栀麦片
'qing'kai'ling'di'wan 清开灵滴丸
'qing'kai'ling'fen'san'pian 清开灵分散片
'qing'kai'ling'ke'li 清开灵颗粒
'qing'lin'pian 清淋片
'qing'nao'jiang'ya'pian 清脑降压片
'qing're'an'chuang'wan 清热暗疮丸
'qing're'san'jie'pian 清热散结片
'qing're'tong'lin'pian 清热通淋片
'qing'wei'huang'lian'wan 清胃黄连丸
'qing'xiu'suan'you'mei'sha'fen'fen'san'pian 氢溴酸右美沙芬分散片
'qing'xiu'suan'you'mei'sha'fen'ke'li 氢溴酸右美沙芬颗粒
'qing'xiu'suan'you'mei'sha'fen'kou'fu'ye 氢溴酸右美沙芬口服液
'qing'xiu'suan'you'mei'sha'fen'pian 氢溴酸右美沙芬片
'qing'xuan'pian 清眩片
'qing'yi'li'dan'ke'li 清胰利胆颗粒
'qiu'shui'xian'jian'pian 秋水仙碱片
'qu'an'nai'de'bi'pen'wu'ji 曲安奈德鼻喷雾剂
'qu'ke'lu'ding'pian 曲克芦丁片
'qu'mi'xin'ru'gao 曲咪新乳膏
'qu'tong'pian 去痛片
'quan'lu'wan 全鹿丸
'ren'gong'niu'huang'jia'xiao'zuo'jiao'nang 人工牛黄甲硝唑胶囊
'ren'shen'gui'pi'wan 人参归脾丸
'ren'shen'he'ji 人参合剂
'ren'shen'jian'pi'wan 人参健脾丸
'rong'jun'mei'han'pian 溶菌酶含片
'rou'suan'dan'bai'jiao'mu'san 鞣酸蛋白酵母散
'ru'pi'kang'jiao'nang 乳癖康胶囊
'ru'pi'xiao'jiao'nang 乳癖消胶囊
'ru'suan'jun'su'ke'li 乳酸菌素颗粒
'ru'suan'jun'su'ke'li'ji 乳酸菌素颗粒剂
'ru'suan'jun'su'pian 乳酸菌素片
'ru'suan'ya'tie'pian 乳酸亚铁片
'run'chang'wan 润肠丸
'sai'mei'an'ru'gao 赛霉安乳膏
'sai'mei'an'san 赛霉安散
'sai'wei'an'jiao'nang 赛胃安胶囊
'san'huang'pian 三黄片
'san'qi'shang'yao'pian 三七伤药片
'san'shen'wan 三肾丸
'sang'ju'gan'mao'pian 桑菊感冒片
'shan'hu'xuan'jing 珊瑚癣净
'shan'zha'wan 山楂丸
'shang'ke'die'da'pian 伤科跌打片
'shang'shi'qu'tong'gao 伤湿祛痛膏
'shang'shi'zhi'tong'gao 伤湿止痛膏
'shang'tong'ning'jiao'nang 伤痛宁胶囊
'shao'tang'shang'gao 烧烫伤膏
'she'dan'chuan'bei'ye 蛇胆川贝液
'she'xiang'xin'nao'le'pian 麝香心脑乐片
'she'xiang'zhen'tong'gao 麝香镇痛膏
'she'xiang'zhuang'gu'gao 麝香壮骨膏
'shen'fu'kang'jiao'nang 肾复康胶囊
'shen'gu'jiao'nang 肾骨胶囊
'shen'gu'pian 肾骨片
'shen'ling'bai'zhu'san 参苓白术散
'shen'qi'jian'wei'ke'li 参芪健胃颗粒
'shen'rong'bian'wan 参茸鞭丸
'shen'rong'san'shen'jiao'nang 参茸三肾胶囊
'shen'shi'tong'ke'li 肾石通颗粒
'shen'yan'pian 肾炎片
'sheng'mai'yin 生脉饮
'sheng'mai'yin'dang'shen'fang 生脉饮党参方
'sheng'mai'yin'ren'shen'fang 生脉饮人参方
'shi'du'qing'pian 湿毒清片
'shi'hu'ye'guang'wan 石斛夜光丸
'shi'xiang'nuan'qi'gao 十香暖脐膏
'shu'gan'he'wei'wan 舒肝和胃丸
'shu'gan'wan 舒肝丸
'shu'jin'ding'tong'jiao'nang 舒筋定痛胶囊
'shu'jin'huo'xue'pian 舒筋活血片
'shu'jin'wan 舒筋丸
'shuang'hua'cao'shan'hu'han'pian 双花草珊瑚含片
'shuang'huang'lian'kou'fu'ye 双黄连口服液
'shuang'jin'wei'yang'jiao'nang 双金胃疡胶囊
'shuang'liao'hou'feng'san 双料喉风散
'shuang'lv'fen'suan'na'chang'rong'pian 双氯芬酸钠肠溶片
'shuang'lv'fen'suan'na'huan'shi'pian 双氯芬酸钠缓释片
'shuang'zuo'tai'shuan 双唑泰栓
'shui'yang'suan'ben'fen'tie'gao 水杨酸苯酚贴膏
'si'ji'gan'mao'pian 四季感冒片
'si'ji'kang'bing'du'he'ji 四季抗病毒合剂
'si'shen'wan 四神丸
'si'xiao'wan 四消丸
'su'gan'ning'jiao'nang 速感宁胶囊
'suo'yang'gu'jing'wan 锁阳固精丸
'tai'ji'wan 太极丸
'tan'ke'jing'pian 痰咳净片
'tang'niao'le'pian 糖尿乐片
'teng'huang'jian'gu'wan 藤黄健骨丸
'ti'mi'sha'tan'jiao'nang'bei'di'ning 替米沙坦胶囊倍迪宁
'ti'mi'sha'tan'pian 替米沙坦片
'ti'xiao'zuo'jiao'nang 替硝唑胶囊
'tian'ma'jiao'nang 天麻胶囊
'tian'ma'pian 天麻片
'tian'ma'su'pian 天麻素片
'tian'ma'tou'tong'pian 天麻头痛片
'tian'ma'wan 天麻丸
'tian'ma'xing'nao'jiao'nang 天麻醒脑胶囊
'tian'qi'tong'jing'jiao'nang 田七痛经胶囊
'tian'wang'bu'xin'wan 天王补心丸
'tong'bian'ling'jiao'nang 通便灵胶囊
'tong'feng'shu'pian 痛风舒片
'tong'mai'ke'li 通脉颗粒
'tong'qiao'bi'yan'pian 通窍鼻炎片
'tong'ren'wu'ji'bai'feng'wan 同仁乌鸡白凤丸
'tou'bao'an'bian'jiao'nang 头孢氨苄胶囊
'tou'bao'an'bian'pian 头孢氨苄片
'tou'bao'fu'xin'zhi'jiao'nang 头孢呋辛酯胶囊
'tou'bao'fu'xin'zhi'pian 头孢呋辛酯片
'tou'bao'ke'luo'gan'hun'xuan'ji 头孢克洛干混悬剂
'tou'bao'ke'luo'ke'li 头孢克洛颗粒
'tou'bao'ke'wo'fen'san'pian 头孢克肟分散片
'tou'bao'ke'wo'gan'hun'xuan'ji 头孢克肟干混悬剂
'tou'bao'ke'wo'jiao'nang 头孢克肟胶囊
'tou'bao'ke'wo'ju'jue'pian 头孢克肟咀嚼片
